epoch,train_loss,val_loss,lr,elapsed_s,avg_grad_norm,max_grad_norm
1,0.4710914,0.62631348,9.939057285945933e-05,2.21,1.5450838,7.73261007
2,0.33630731,0.64945291,9.757729755661012e-05,1.91,1.49482277,4.48582586
3,0.30431974,0.65496996,9.460482294732422e-05,1.85,1.49844597,4.23743744
4,0.28447745,0.5612887,9.054634122155992e-05,1.9,1.52771651,4.51421989
5,0.27145853,0.58664935,8.550178566873411e-05,1.93,1.63158742,4.61721243
6,0.25369879,0.61147176,7.959536998847744e-05,1.88,1.59353891,5.15079395
7,0.24159328,0.52825764,7.297252973710758e-05,1.84,1.67354678,5.2062221
8,0.23363749,0.57560802,6.579634122155991e-05,1.91,1.67519647,6.35902629
9,0.22750143,0.5879582,5.824350601949144e-05,1.91,1.66740191,5.28332806
10,0.22121452,0.54786812,5.050000000000001e-05,1.89,1.66357613,4.46980798
11,0.21524622,0.47792616,4.275649398050859e-05,1.9,1.55723456,5.21350921
12,0.21430661,0.52093888,3.520365877844011e-05,1.91,1.66175002,6.04157782
13,0.21022993,0.52547247,2.8027470262892444e-05,1.9,1.55029657,3.67119833
14,0.20811164,0.52512498,2.1404630011522593e-05,1.72,1.53254534,3.88908581
15,0.2058906,0.50825639,1.5498214331265904e-05,1.7,1.46534377,4.76588298
16,0.20415902,0.50621725,1.0453658778440109e-05,1.76,1.49078784,4.13422358
