epoch,attention,avg_grad_norm,max_grad_norm,train_loss,val_loss
1,fused,1.7171401,8.96175424,0.43967188,0.63958202
2,fused,1.72657141,4.78559823,0.30461015,0.62971228
3,fused,1.93430752,6.24467513,0.27896184,0.54961146
4,fused,2.16118633,7.26225308,0.25805563,0.50443167
5,fused,2.2120606,6.95000433,0.23892844,0.52601347
6,fused,2.23562684,6.43730204,0.2215642,0.52933686
7,fused,2.43927566,8.15416237,0.2100014,0.49777383
8,fused,2.39557433,9.22043898,0.20081881,0.5473233
9,fused,2.31535159,7.67812874,0.19152861,0.49891317
10,fused,2.44035734,7.78075904,0.18391259,0.52400664
11,fused,2.37394582,7.50716182,0.17698281,0.47007417
12,fused,2.48026552,7.00930561,0.17250492,0.47416164
13,fused,2.28346757,6.29125511,0.16616906,0.45876541
14,fused,2.32300905,7.37448611,0.16210128,0.47803933
15,fused,2.18679264,7.91216999,0.15697712,0.45208832
16,fused,2.18569976,5.92745439,0.15404069,0.44346371
17,fused,2.11738888,5.71757288,0.15173745,0.45278126
18,fused,2.05879882,6.35530254,0.14982941,0.44882538
19,fused,1.97235347,5.51453802,0.14859073,0.45009866
20,fused,1.9218117,4.83289914,0.14788117,0.45191134
