epoch,train_loss,val_loss,lr,elapsed_s,avg_grad_norm,max_grad_norm
1,0.43967188,0.63958202,9.939057285945933e-05,15.93,1.7171401,8.96175424
2,0.30461015,0.62971228,9.757729755661012e-05,1.82,1.72657141,4.78559823
3,0.27896184,0.54961146,9.460482294732422e-05,1.84,1.93430752,6.24467513
4,0.25805563,0.50443167,9.054634122155992e-05,1.85,2.16118633,7.26225308
5,0.23892844,0.52601347,8.550178566873411e-05,1.87,2.2120606,6.95000433
6,0.2215642,0.52933686,7.959536998847744e-05,1.89,2.23562684,6.43730204
7,0.2100014,0.49777383,7.297252973710758e-05,1.92,2.43927566,8.15416237
8,0.20081881,0.5473233,6.579634122155991e-05,1.89,2.39557433,9.22043898
9,0.19152861,0.49891317,5.824350601949144e-05,1.88,2.31535159,7.67812874
10,0.18391259,0.52400664,5.050000000000001e-05,1.85,2.44035734,7.78075904
11,0.17698281,0.47007417,4.275649398050859e-05,1.85,2.37394582,7.50716182
12,0.17250492,0.47416164,3.520365877844011e-05,1.83,2.48026552,7.00930561
13,0.16616906,0.45876541,2.8027470262892444e-05,1.83,2.28346757,6.29125511
14,0.16210128,0.47803933,2.1404630011522593e-05,1.81,2.32300905,7.37448611
15,0.15697712,0.45208832,1.5498214331265904e-05,1.82,2.18679264,7.91216999
16,0.15404069,0.44346371,1.0453658778440109e-05,1.82,2.18569976,5.92745439
17,0.15173745,0.45278126,6.395177052675796e-06,1.82,2.11738888,5.71757288
18,0.14982941,0.44882538,3.422702443389901e-06,1.84,2.05879882,6.35530254
19,0.14859073,0.45009866,1.6094271405406863e-06,1.83,1.97235347,5.51453802
20,0.14788117,0.45191134,1.0000000000000002e-06,1.83,1.9218117,4.83289914
