tile_size,seq_len,shmem_per_block_bytes,shmem_per_block_KB,theoretical_max_blocks_SM,wall_time_ms,SM_occupancy_pct,notes
16,64,12480,12.19,13,,,
16,128,12480,12.19,13,,,
16,256,12480,12.19,13,,,
16,512,12480,12.19,13,,,
16,1024,12480,12.19,13,,,
32,64,24960,24.38,6,,,SELECTED
32,128,24960,24.38,6,,,SELECTED
32,256,24960,24.38,6,,,SELECTED
32,512,24960,24.38,6,,,SELECTED
32,1024,24960,24.38,6,,,SELECTED
64,64,49920,48.75,3,,,
64,128,49920,48.75,3,,,
64,256,49920,48.75,3,,,
64,512,49920,48.75,3,,,
64,1024,49920,48.75,3,,,
128,64,99840,97.5,1,,,
128,128,99840,97.5,1,,,
128,256,99840,97.5,1,,,
128,512,99840,97.5,1,,,
128,1024,99840,97.5,1,,,
