method,seq_len,embed_dim,n_heads,batch_size,warmup_iters,timed_iters,total_elapsed_ms,per_iter_us,peak_alloc_mb,kernel_count,HBM_read_bytes_est,HBM_write_bytes_est,device,gpu_name,speedup_vs_baseline,HBM_read_reduction_pct
baseline_unfused,64,512,8,1,100,500,151.4012,302.8023,12.875,2,,,cuda,NVIDIA A100-SXM4-40GB,,
fused_kernel,64,512,8,1,100,500,,,,1,,,cuda,NVIDIA A100-SXM4-40GB,,
baseline_unfused,128,512,8,1,100,500,152.7322,305.4643,13.625,2,,,cuda,NVIDIA A100-SXM4-40GB,,
fused_kernel,128,512,8,1,100,500,,,,1,,,cuda,NVIDIA A100-SXM4-40GB,,
baseline_unfused,256,512,8,1,100,500,150.5569,301.1139,15.125,2,,,cuda,NVIDIA A100-SXM4-40GB,,
fused_kernel,256,512,8,1,100,500,,,,1,,,cuda,NVIDIA A100-SXM4-40GB,,
baseline_unfused,512,512,8,1,100,500,135.151,270.3019,18.125,2,,,cuda,NVIDIA A100-SXM4-40GB,,
fused_kernel,512,512,8,1,100,500,,,,1,,,cuda,NVIDIA A100-SXM4-40GB,,
baseline_unfused,1024,512,8,1,100,500,189.7764,379.5528,24.125,2,,,cuda,NVIDIA A100-SXM4-40GB,,
fused_kernel,1024,512,8,1,100,500,,,,1,,,cuda,NVIDIA A100-SXM4-40GB,,
