epoch,train_loss,val_loss,lr,elapsed_s
1,0.4710914,0.62631345,9.939057285945933e-05,4.18
2,0.33630731,0.64945291,9.757729755661012e-05,2.18
3,0.30431974,0.65496997,9.460482294732422e-05,2.15
4,0.28447745,0.5612887,9.054634122155992e-05,2.2
5,0.27145853,0.58664937,8.550178566873411e-05,2.16
6,0.2536988,0.61147178,7.959536998847744e-05,2.18
7,0.24159328,0.52825765,7.297252973710758e-05,2.2
8,0.23363749,0.57560804,6.579634122155991e-05,2.17
9,0.22750143,0.58795818,5.824350601949144e-05,2.2
10,0.22121452,0.54786817,5.050000000000001e-05,2.16
11,0.21524622,0.47792616,4.275649398050859e-05,2.15
12,0.21430661,0.52093887,3.520365877844011e-05,2.17
13,0.21022993,0.52547247,2.8027470262892444e-05,2.17
14,0.20811164,0.52512499,2.1404630011522593e-05,2.15
15,0.2058906,0.50825641,1.5498214331265904e-05,2.15
16,0.20415902,0.50621723,1.0453658778440109e-05,2.18
